subj_i,state,block,reward,action,w
770,4,5050,-1,1,0.5
770,4,5050,0,1,0.5
770,1,5050,1,1,0.5
770,1,5050,1,2,0.5
770,2,5050,0,2,0.474521040157834
770,1,5050,0,1,0.474521040157834
770,2,5050,0,1,0.477508084415216
770,2,5050,0,1,0.477824821151864
770,4,5050,0,2,0.478134974758263
770,4,5050,-1,1,0.475993775312333
770,2,5050,-1,2,0.47356092988834
770,3,5050,0,1,0.468675181560009
770,3,5050,0,1,0.468675181560009
770,3,5050,0,1,0.468675181560009
770,1,5050,0,1,0.468675181560009
770,4,5050,0,1,0.471623682028047
770,3,5050,0,2,0.47198089553234
770,1,5050,0,2,0.472910537232429
770,2,5050,0,2,0.476381424468428
770,1,5050,0,1,0.477042687571236
770,2,5050,-1,1,0.480197532530504
770,4,5050,-1,2,0.494012934041276
770,1,5050,0,2,0.524788168942883
770,3,5050,0,1,0.528443975863429
770,2,5050,0,1,0.528741136147699
770,3,5050,1,2,0.527025954420401
770,3,5050,1,1,0.517335358384715
770,1,5050,0,1,0.489568297791266
770,1,5050,1,1,0.492916388465326
770,3,5050,0,1,0.460606262450869
770,3,5050,1,1,0.463674100897703
770,3,5050,0,1,0.433976026015535
770,2,5050,-1,1,0.436863750045587
770,4,5050,-1,1,0.449026586610375
770,2,5050,-1,1,0.462190308508333
770,4,5050,-1,2,0.473132319784526
770,2,5050,0,1,0.515419818326543
770,4,5050,0,1,0.513842051435292
770,2,5050,0,2,0.50954507793819
770,3,5050,0,2,0.50390571218946
770,3,5050,1,1,0.510922462279383
770,4,5050,-1,1,0.475881163129097
770,3,5050,1,1,0.50146024075598
770,2,5050,0,1,0.462935110625437
770,4,5050,-1,1,0.461735071798911
770,2,5050,0,1,0.485331500618091
770,3,5050,0,1,0.484125391371753
770,1,5050,1,1,0.486954902626388
770,4,5050,-1,1,0.451911814902722
770,1,5050,0,2,0.473752748059787
770,4,5050,-1,1,0.482926992798153
770,2,5050,0,2,0.503376433572808
770,1,5050,1,2,0.498483917821508
770,2,5050,-1,1,0.39827239258143
