subj_i,state,block,reward,action,w
772,1,8020,0,1,0.5
772,1,8020,1,2,0.5
772,2,8020,0,2,0.163196895194191
772,3,8020,0,2,0.163196895194191
772,4,8020,0,1,0.163196895194191
772,2,8020,-1,1,0.163196895194191
772,4,8020,-1,2,0.036640842287188
772,1,8020,0,1,0.00736302501375561
772,1,8020,1,2,0.00472377135879611
772,1,8020,1,2,0.00181519694810885
772,3,8020,1,2,0.000960252576792976
772,3,8020,1,1,0.000960252576792976
772,4,8020,-1,2,0.00105790446479243
772,3,8020,0,2,0.000586381184202154
772,2,8020,0,2,0.000405599594168803
772,3,8020,1,1,0.00022475258998556
772,4,8020,0,1,0.000138095592593448
772,3,8020,0,2,5.29156794081797e-05
772,3,8020,1,1,3.27282747826343e-05
772,1,8020,0,1,1.79093913392811e-05
772,3,8020,1,1,8.295968034707e-06
772,2,8020,0,2,4.99000006579288e-06
772,4,8020,-1,1,3.45096181556159e-06
772,1,8020,1,2,4.26706757934893e-05
772,4,8020,0,1,2.21638538282672e-05
772,2,8020,-1,1,1.37081522146446e-05
772,2,8020,0,1,4.01422462606848e-06
772,2,8020,-1,1,3.53899776045785e-05
772,2,8020,0,2,1.83820746072918e-05
772,3,8020,1,1,1.08395585672484e-05
772,2,8020,-1,1,7.0057391482426e-06
772,4,8020,-1,2,3.60584520605369e-06
772,2,8020,0,2,1.91519236939839e-06
772,4,8020,-1,2,1.09076576621524e-06
772,2,8020,0,2,6.46390638922419e-07
772,3,8020,1,1,3.95044213560198e-07
772,1,8020,1,2,2.69700800557512e-07
772,1,8020,1,2,1.57981423998553e-07
772,3,8020,0,1,1.0047978592642e-07
772,3,8020,1,1,6.15299027254232e-07
772,1,8020,1,2,4.63436533018016e-07
772,1,8020,0,2,3.13007185460981e-07
772,1,8020,1,2,2.22378787395977e-06
772,4,8020,0,1,1.63037117943727e-06
772,4,8020,0,1,8.39147824513462e-07
772,2,8020,0,2,4.75969898502846e-07
772,2,8020,0,2,3.07234404820841e-07
772,2,8020,0,2,2.0716300451543e-07
772,4,8020,-1,1,1.44758112177351e-07
772,4,8020,-1,1,4.12190097431385e-07
772,1,8020,1,2,7.73898087737848e-07
772,3,8020,1,2,5.84252519233765e-07
772,1,8020,1,2,1.75864921784311e-06
772,4,8020,0,1,1.36023269971428e-06
772,2,8020,-1,2,9.15795165975254e-07
772,4,8020,0,1,2.72113667973072e-05
772,1,8020,1,2,1.89919775457283e-05
772,3,8020,0,1,1.49915573382502e-05
772,4,8020,0,1,3.03531318600674e-05
772,3,8020,1,1,2.1828518309001e-05
772,3,8020,0,1,1.82648109128441e-05
