subj_i,state,block,reward,action,w
721,3,5050,0,1,0.5
721,1,5050,0,2,0.5
721,3,5050,1,2,0.5
721,4,5050,-1,1,0.493636914121263
721,4,5050,-1,1,0.493636914121263
721,1,5050,0,1,0.493636914121263
721,4,5050,-1,1,0.545673450325671
721,2,5050,0,2,0.545673450325671
721,3,5050,1,1,0.545673450325671
721,2,5050,0,1,0.546503948545384
721,1,5050,1,1,0.597537037742006
721,2,5050,-1,2,0.591553531979362
721,2,5050,0,2,0.585542770279111
721,2,5050,0,2,0.612710650934158
721,3,5050,1,1,0.635487786316123
721,1,5050,0,1,0.636224026655582
721,3,5050,0,2,0.673566269479627
721,3,5050,1,2,0.708018752976659
721,2,5050,0,1,0.704512782425891
721,4,5050,-1,1,0.815750618461339
721,1,5050,0,2,0.815750618461339
721,1,5050,0,2,0.853708691394247
721,2,5050,-1,2,0.879709961927459
721,3,5050,0,1,0.874791481813201
721,3,5050,1,2,0.887378938577568
721,2,5050,0,1,0.883446376287337
721,3,5050,1,1,0.937161595383416
721,3,5050,1,2,0.9364868034371
721,1,5050,0,1,0.934402090677318
721,4,5050,0,1,0.95277521158678
721,4,5050,0,1,0.95277521158678
721,2,5050,-1,2,0.95277521158678
721,3,5050,0,1,0.949702564100347
721,3,5050,1,2,0.952091454559543
721,4,5050,0,1,0.949552969277334
721,4,5050,-1,2,0.949552969277334
721,4,5050,-1,1,0.933874835755656
721,3,5050,1,2,0.930435414370732
721,4,5050,-1,2,0.926899097552825
721,3,5050,1,1,0.900045070097962
721,2,5050,0,2,0.900170519383808
721,4,5050,0,2,0.912534940772681
721,1,5050,1,2,0.958808119196252
721,3,5050,1,2,0.956236772148231
721,2,5050,0,1,0.954132573468337
721,1,5050,1,1,0.977804606226834
721,1,5050,1,2,0.97641918639316
721,1,5050,0,2,0.975084021759748
721,1,5050,0,2,0.980635511049438
721,2,5050,0,1,0.984398651601797
721,2,5050,0,1,0.991988932158762
721,1,5050,1,1,0.995637089892636
721,4,5050,-1,2,0.995201266760796
721,1,5050,1,1,0.993274625130844
721,2,5050,0,1,0.992617260511537
721,4,5050,-1,1,0.995763412881287
721,2,5050,-1,2,0.994894675536325
721,1,5050,0,2,0.994118790384829
721,4,5050,-1,2,0.994940649970823
721,4,5050,-1,2,0.992481906363051
721,2,5050,0,2,0.98880301742745
721,2,5050,0,1,0.991061038987447
721,4,5050,0,2,0.99512868881734
721,1,5050,0,1,0.997089721584335
721,1,5050,0,2,0.998182935287107
721,1,5050,0,2,0.998488933261743
721,2,5050,-1,2,0.998712743464355
721,3,5050,0,1,0.998497577715916
721,4,5050,0,1,0.998461672915171
721,4,5050,0,2,0.998923186847417
721,4,5050,0,1,0.999348045877076
721,3,5050,0,2,0.999541904420855
721,1,5050,1,2,0.999707609353263
721,1,5050,1,1,0.999692875120766
721,2,5050,0,1,0.999647782866022
721,1,5050,1,1,0.999811824643924
721,1,5050,0,1,0.999784667773803
721,4,5050,-1,1,0.999869795072336
721,1,5050,0,2,0.999817396627057
721,4,5050,-1,2,0.999843438461823
721,1,5050,1,2,0.999743436271067
721,3,5050,0,1,0.999730437796103
721,4,5050,0,2,0.999744238453465
