subj_i,state,block,reward,action,w
763,2,5050,0,1,0.5
763,3,5050,0,2,0.5
763,3,5050,1,2,0.5
763,1,5050,0,2,0.5
763,3,5050,0,2,0.5
763,4,5050,0,2,0.5
763,1,5050,1,2,0.5
763,1,5050,1,2,0.5
763,2,5050,0,2,0.5
763,4,5050,0,2,0.51284694830846
763,1,5050,0,1,0.51284694830846
763,3,5050,0,2,0.481290449450441
763,4,5050,0,2,0.481290449450441
763,2,5050,0,2,0.481290449450441
763,1,5050,1,2,0.491381422794643
763,3,5050,1,1,0.471848273091837
763,4,5050,0,2,0.449221170984054
763,2,5050,-1,1,0.449221170984054
763,4,5050,0,2,0.405767734227338
763,3,5050,0,2,0.405767734227338
763,3,5050,0,2,0.388396664558326
763,4,5050,-1,1,0.372451860023436
763,3,5050,1,2,0.278387923074085
763,2,5050,-1,2,0.308903346733195
763,1,5050,0,1,0.208510865518664
763,2,5050,0,1,0.178104856160323
763,2,5050,-1,2,0.198147124825123
763,4,5050,0,2,0.0998861155088761
763,4,5050,-1,2,0.109157658117552
763,2,5050,-1,1,0.0738998408881599
763,2,5050,0,2,0.00702027575839063
763,2,5050,-1,1,0.00742728485876578
763,1,5050,0,1,0.00314128660317832
763,3,5050,0,1,0.00260987435002131
763,4,5050,0,1,0.00284220262263649
763,1,5050,0,1,0.00337647091903664
763,4,5050,-1,1,0.00283113018530934
763,4,5050,0,1,0.000978110649307535
763,3,5050,1,2,0.00107533584770195
763,1,5050,1,1,0.00113951631600188
763,1,5050,1,2,0.00167939576339407
763,3,5050,0,2,0.00141530509142002
763,3,5050,0,1,0.00138369153742954
763,1,5050,1,2,0.00142770319127151
763,2,5050,-1,2,0.00120338767008182
763,2,5050,0,2,0.00122067216783445
763,4,5050,-1,2,0.00107504129923493
763,1,5050,0,2,0.00010146055898865
763,2,5050,0,2,0.000120013247008702
763,3,5050,1,2,0.000106338824575059
763,3,5050,0,2,0.000105930601058493
763,4,5050,0,2,0.000106923858185582
763,1,5050,0,2,0.000111396421327853
763,2,5050,0,1,0.000127735992253972
763,4,5050,0,2,0.000114195565954614
763,3,5050,0,1,0.000118650105603541
763,4,5050,-1,1,0.000117241322513144
763,1,5050,1,2,3.87745278689912e-05
763,2,5050,-1,2,3.37139049697367e-05
763,1,5050,1,2,0.000257023409461195
763,4,5050,-1,2,0.000223625342755139
763,2,5050,-1,1,0.000243181274435957
763,1,5050,1,2,0.00214331537475062
763,2,5050,-1,1,0.00186836358697994
763,4,5050,0,2,0.00771704081129097
763,3,5050,1,2,0.00697938738334202
763,3,5050,0,2,0.00663450740575853
763,1,5050,0,2,0.00687022499815033
763,4,5050,-1,2,0.00794728973485469
763,1,5050,0,2,0.0624737299136762
763,3,5050,1,1,0.0702022867976982
763,1,5050,1,2,0.0765450597097166
763,2,5050,0,2,0.0686500056682456
763,3,5050,1,2,0.0566405233426943
763,4,5050,-1,1,0.0574079004560197
763,3,5050,0,1,0.309090379718753
763,2,5050,0,1,0.298905382972242
763,4,5050,-1,2,0.272353459303327
763,4,5050,-1,1,0.655445479842095
763,4,5050,-1,1,0.885819411751673
763,4,5050,0,1,0.941868703243149
763,1,5050,1,2,0.935436637172568
763,3,5050,1,2,0.928057496600748
763,3,5050,1,2,0.925766527884433
763,4,5050,-1,1,0.922771678679373
763,4,5050,0,1,0.950358875624111
763,2,5050,0,2,0.945979776656281
763,3,5050,0,2,0.935542607273177
763,1,5050,1,2,0.937801027963752
763,3,5050,0,1,0.930775682413639
763,2,5050,-1,2,0.923570632819423
763,2,5050,-1,1,0.984939985395157
763,3,5050,1,2,0.99352168256868
763,3,5050,1,2,0.993036674457947
763,4,5050,-1,1,0.992481157308401
763,1,5050,1,2,0.994555889430117
763,2,5050,0,1,0.993910479452858
763,4,5050,0,1,0.993063438671657
763,4,5050,-1,1,0.992555122818041
763,1,5050,0,2,0.994095736966349
763,1,5050,1,2,0.994840244291558
763,1,5050,0,1,0.994273359967048
763,1,5050,0,2,0.991676279904223
763,2,5050,-1,1,0.992866058897255
763,4,5050,-1,1,0.995973927999532
763,3,5050,1,2,0.996554326474941
763,3,5050,1,2,0.996265834064904
763,2,5050,-1,1,0.995943484451876
763,1,5050,1,2,0.997284472927145
763,2,5050,-1,1,0.996918759255877
763,1,5050,1,2,0.997692853004368
763,3,5050,0,2,0.997387914583582
763,3,5050,1,2,0.997586850672588
763,1,5050,0,2,0.997389513917308
763,2,5050,-1,1,0.997751298300789
763,2,5050,0,1,0.998178981316484
763,2,5050,-1,1,0.99805515604685
763,4,5050,-1,1,0.998353728165593
763,2,5050,0,1,0.998510383137213
763,1,5050,1,2,0.998424856796668
763,3,5050,1,2,0.998229433861039
763,4,5050,0,1,0.998081735909109
763,1,5050,1,2,0.998029960736861
763,3,5050,1,2,0.997790114786258
763,4,5050,0,1,0.997603481341081
763,2,5050,-1,2,0.997527043225672
763,2,5050,0,2,0.999377391452016
763,2,5050,0,1,0.999171406696275
763,4,5050,0,2,0.999110354156084
763,2,5050,-1,1,0.998809731159528
763,1,5050,1,2,0.998997801394402
763,2,5050,-1,1,0.998877927935259
763,4,5050,0,1,0.999016766851639
763,4,5050,0,1,0.998991888788197
763,1,5050,0,2,0.998962262625615
763,3,5050,1,2,0.99910486553843
763,1,5050,0,2,0.999028559667494
763,3,5050,1,2,0.999150558774661
763,2,5050,-1,1,0.999077850623077
763,3,5050,1,2,0.999165719215119
763,3,5050,1,2,0.99909423613025
