subj_i,state,block,reward,action,w
721,3,8020,0,2,0.5
721,2,8020,0,2,0.5
721,1,8020,0,1,0.5
721,4,8020,-1,2,0.5
721,3,8020,0,2,0.5
721,4,8020,-1,2,0.5
721,2,8020,-1,1,0.5
721,4,8020,-1,1,0.493636914121263
721,1,8020,1,2,0.466407432160688
721,3,8020,0,1,0.46007847956422
721,4,8020,0,1,0.553142816991668
721,2,8020,-1,1,0.665854941106867
721,1,8020,0,1,0.660309724955999
721,1,8020,1,2,0.65472020386684
721,1,8020,0,1,0.643551059249671
721,1,8020,1,2,0.632496506054832
721,4,8020,-1,2,0.615850361312746
721,3,8020,1,2,0.597084061506652
721,3,8020,0,2,0.591243740179696
721,4,8020,0,1,0.623576331478774
721,1,8020,1,2,0.744013174141765
721,2,8020,0,2,0.730587140204381
721,2,8020,-1,2,0.825714574787181
721,3,8020,1,2,0.809820253380013
721,3,8020,1,2,0.806236867036962
721,4,8020,0,1,0.802685053352445
721,1,8020,1,2,0.870443035898309
721,1,8020,1,2,0.862607620526992
721,3,8020,1,1,0.854563802356899
721,4,8020,0,1,0.847178766868374
721,3,8020,1,1,0.897078135660724
721,2,8020,-1,1,0.891676778566429
721,3,8020,0,2,0.881450760542045
721,1,8020,1,2,0.88882352517898
721,4,8020,-1,2,0.882253679465252
721,4,8020,0,1,0.866363588042418
721,2,8020,0,2,0.915211911996011
721,2,8020,0,2,0.946885135701032
721,2,8020,-1,2,0.965552063734144
721,4,8020,0,1,0.959867433785571
721,2,8020,0,2,0.974512082863194
721,2,8020,0,2,0.981840895347572
721,1,8020,1,1,0.98676325913287
721,4,8020,-1,2,0.987117162806749
721,1,8020,0,1,0.984550192222309
721,1,8020,1,2,0.98206803428353
721,4,8020,0,1,0.9806015210808
721,3,8020,0,2,0.988266428388679
721,3,8020,1,1,0.988912607716266
721,1,8020,1,2,0.987794669948292
721,2,8020,0,2,0.986810581014859
721,3,8020,1,1,0.990186453387131
721,3,8020,0,2,0.989214629080458
721,2,8020,-1,1,0.989280643453272
721,2,8020,0,2,0.986147475233524
721,4,8020,0,2,0.990217255159544
721,1,8020,1,1,0.992979394299901
721,4,8020,0,1,0.993227533559285
721,2,8020,0,1,0.995880958696203
721,3,8020,0,2,0.99747744907498
721,2,8020,-1,1,0.997471761599371
721,4,8020,-1,2,0.996682827189622
721,4,8020,-1,2,0.995882200582746
721,4,8020,0,1,0.994901875274592
721,2,8020,0,2,0.997142763018281
721,4,8020,0,1,0.998106969864667
721,4,8020,-1,2,0.998905139969935
721,2,8020,0,1,0.998598085193003
721,3,8020,0,2,0.999070184897794
721,1,8020,1,2,0.99906184343837
721,2,8020,0,2,0.998990041391869
721,1,8020,1,2,0.999327951763252
721,2,8020,0,2,0.999277456916011
721,3,8020,0,2,0.9995089174055
721,4,8020,0,2,0.999501853187559
721,1,8020,1,2,0.999611408544345
721,1,8020,0,1,0.999582735221423
721,4,8020,-1,2,0.999470999841725
