subj_i,state,block,reward,action,w
740,4,8020,0,1,0.5
740,1,8020,1,2,0.5
740,3,8020,0,2,0.5
740,1,8020,1,2,0.5
740,2,8020,-1,1,0.5
740,1,8020,1,2,0.5
740,4,8020,-1,2,0.5
740,2,8020,0,2,0.497512437483625
740,1,8020,1,2,0.509178140506557
740,1,8020,1,2,0.509178140506557
740,2,8020,0,2,0.509178140506557
740,2,8020,-1,2,0.520469229873422
740,1,8020,0,1,0.514201361984397
740,1,8020,0,2,0.502007629243882
740,3,8020,0,2,0.506814859795999
740,4,8020,-1,2,0.506814859795999
740,3,8020,0,1,0.504352097494191
740,2,8020,-1,2,0.513552567165298
740,1,8020,0,1,0.507243660715147
740,2,8020,0,2,0.499794095893536
740,3,8020,0,1,0.509499442937669
740,3,8020,0,2,0.51835479547905
740,3,8020,1,2,0.526878305241281
740,2,8020,0,2,0.522082026313019
740,4,8020,0,2,0.531497900411731
740,3,8020,0,2,0.535478860568331
740,3,8020,1,2,0.543710780559308
740,4,8020,-1,2,0.539025984809913
740,2,8020,-1,1,0.536624335234947
740,2,8020,0,2,0.514404809922896
740,1,8020,0,2,0.53226209905696
740,4,8020,-1,1,0.541304188044068
740,4,8020,0,1,0.519987294384712
740,3,8020,0,2,0.553141462342779
740,1,8020,0,1,0.561077637476949
740,4,8020,0,2,0.557924884875726
740,1,8020,0,2,0.573630190302598
740,3,8020,0,2,0.58622007908189
740,3,8020,0,2,0.593737487206437
740,1,8020,0,1,0.600964149944465
740,2,8020,-1,1,0.601560765744727
740,2,8020,0,2,0.577783100126453
740,4,8020,0,2,0.602454550817394
740,4,8020,-1,2,0.61723225078752
740,3,8020,1,1,0.606785905020505
740,4,8020,-1,2,0.59369631826804
740,2,8020,0,2,0.583040155856497
740,1,8020,0,2,0.607018154862963
740,4,8020,-1,1,0.622508171966356
740,4,8020,-1,2,0.585388306488045
740,3,8020,0,2,0.568330313392109
740,2,8020,-1,1,0.573254736970887
740,1,8020,1,2,0.544615330606295
740,3,8020,0,2,0.53566365912334
740,4,8020,0,1,0.540449126760164
740,2,8020,0,2,0.597568662975325
740,2,8020,-1,1,0.627573363062533
740,1,8020,1,2,0.597976857192192
740,4,8020,-1,1,0.589360974296941
740,3,8020,0,2,0.544904378595181
740,1,8020,0,1,0.549476057261545
740,2,8020,-1,2,0.549157027424882
740,1,8020,1,2,0.517748243874977
740,4,8020,-1,1,0.50674029670827
740,4,8020,0,1,0.461283807794244
740,3,8020,1,1,0.512472437445711
740,2,8020,0,2,0.492314649485649
740,3,8020,1,1,0.528281032188215
740,2,8020,-1,2,0.508292834661521
740,1,8020,1,2,0.476603996007817
740,3,8020,0,2,0.46572198464551
740,4,8020,0,2,0.465833658804274
740,4,8020,-1,2,0.502503711448473
740,3,8020,1,2,0.467649628780172
740,1,8020,0,1,0.467670565117741
740,2,8020,-1,1,0.462725500317794
740,2,8020,-1,1,0.41719259564401
740,1,8020,1,2,0.372995728561193
