subj_i,state,block,reward,action,w
728,3,5050,1,1,0.5
728,3,5050,1,1,0.5
728,3,5050,0,1,0.5
728,3,5050,1,1,0.5
728,1,5050,1,1,0.5
728,4,5050,0,1,0.5
728,1,5050,1,1,0.5
728,4,5050,0,1,0.5
728,4,5050,-1,2,0.5
728,2,5050,-1,1,0.357225855101512
728,2,5050,-1,2,0.357225855101512
728,3,5050,0,1,0.392495901484948
728,1,5050,0,1,0.392495901484948
728,1,5050,1,1,0.392495901484948
728,3,5050,1,1,0.392495901484948
728,2,5050,0,2,0.392495901484948
728,2,5050,0,1,0.334474093093818
728,4,5050,-1,2,0.402044522556328
728,3,5050,1,1,0.299699904046597
728,2,5050,0,1,0.299699904046597
728,4,5050,0,1,0.311135067683673
728,2,5050,-1,1,0.238230774506281
728,2,5050,-1,2,0.241138164721875
728,4,5050,-1,1,0.229566503716465
728,3,5050,1,2,0.330046622840461
728,2,5050,0,1,0.216946606251086
728,1,5050,1,1,0.203050146859389
728,2,5050,-1,1,0.203050146859389
728,4,5050,-1,2,0.220740720730955
728,3,5050,1,1,0.160882507670088
728,2,5050,-1,1,0.183280626313335
728,2,5050,-1,1,0.192302200210886
728,1,5050,1,1,0.197203466229353
728,1,5050,0,1,0.197203466229353
728,2,5050,-1,2,0.197203466229353
728,4,5050,-1,2,0.193118772904718
728,2,5050,-1,1,0.144385236223084
728,3,5050,0,1,0.150958715184186
728,1,5050,0,1,0.139667258547608
728,3,5050,1,2,0.139667258547608
728,1,5050,0,1,0.29252278991486
728,4,5050,-1,1,0.29252278991486
728,1,5050,1,1,0.394179846294714
728,4,5050,-1,1,0.394179846294714
728,3,5050,0,2,0.472750273575707
728,1,5050,1,1,0.341199506266226
728,1,5050,0,1,0.341199506266226
728,4,5050,-1,1,0.341199506266226
728,1,5050,0,2,0.397168444021386
728,4,5050,-1,1,0.53256931952709
728,1,5050,0,1,0.578966736124597
728,4,5050,-1,1,0.58810802429401
728,4,5050,0,1,0.624226867328556
