subj_i,state,block,reward,action,w
768,2,5050,-1,1,0.5
768,1,5050,0,1,0.5
768,3,5050,0,1,0.5
768,3,5050,0,1,0.5
768,4,5050,0,2,0.5
768,1,5050,1,2,0.5
768,2,5050,-1,2,0.485376293931432
768,4,5050,0,1,0.50149113820387
768,1,5050,1,2,0.51332756607254
768,3,5050,1,1,0.499511639479467
768,1,5050,0,1,0.499511639479467
768,4,5050,-1,1,0.556796477088346
768,3,5050,0,1,0.543116239209745
768,3,5050,0,1,0.543116239209745
768,1,5050,1,2,0.543116239209745
768,2,5050,0,1,0.517678009597214
768,2,5050,-1,1,0.503866219701311
768,2,5050,0,1,0.518139456404836
768,1,5050,0,2,0.505704027382488
768,2,5050,-1,1,0.512785758825762
768,3,5050,0,1,0.525585155595046
768,2,5050,0,2,0.525585155595046
768,1,5050,0,2,0.513476588876553
768,3,5050,0,1,0.51982511589388
768,2,5050,0,1,0.51982511589388
768,1,5050,1,1,0.519522437259398
768,4,5050,-1,2,0.34105580858116
768,3,5050,1,1,0.34450959728827
768,1,5050,0,1,0.34450959728827
768,3,5050,0,2,0.403810882353476
768,2,5050,-1,1,0.491713137706696
768,4,5050,-1,1,0.492964110899508
768,4,5050,-1,2,0.49480181182513
768,4,5050,0,1,0.509457449179621
768,4,5050,0,1,0.4977776122599
768,4,5050,0,1,0.485625339993071
768,1,5050,1,1,0.473211512004352
768,1,5050,0,1,0.283821040517861
768,4,5050,0,2,0.325759994916724
768,4,5050,-1,1,0.34146763609421
768,3,5050,0,1,0.34722807728124
768,4,5050,-1,1,0.349853021714147
768,1,5050,0,2,0.353416977403573
768,2,5050,-1,2,0.386346132321477
768,3,5050,1,1,0.400886652209706
768,3,5050,0,1,0.391717733788429
768,4,5050,0,1,0.393537612954766
768,2,5050,0,1,0.391840694771559
768,1,5050,0,1,0.382504547254843
768,3,5050,1,1,0.428342887727004
768,4,5050,0,1,0.419649607111643
768,1,5050,1,2,0.416908434155248
768,3,5050,1,1,0.237018248764418
768,2,5050,-1,1,0.230858515515842
768,2,5050,0,1,0.238664698736589
768,2,5050,0,1,0.232100669179614
768,2,5050,-1,2,0.225454709261201
768,4,5050,0,2,0.220644661077072
768,1,5050,0,1,0.22777693766075
768,3,5050,1,2,0.268388136998812
768,1,5050,1,1,0.0679661590197367
768,4,5050,0,2,0.016246436343874
768,3,5050,0,1,0.0166706430622468
768,3,5050,0,1,0.0173415299980462
768,2,5050,0,1,0.0180120500099981
768,4,5050,0,1,0.0168043433714982
768,4,5050,-1,2,0.017368567823161
768,4,5050,0,1,0.0165421635180835
768,1,5050,0,1,0.0165038876402506
768,4,5050,-1,1,0.0196985785411098
768,4,5050,-1,1,0.0198988582520844
768,3,5050,1,1,0.0199114446800352
768,2,5050,0,2,0.0117330483375296
768,1,5050,1,1,0.0126155290062634
768,2,5050,0,2,0.00139531627627536
768,1,5050,0,2,0.00146995874504962
768,2,5050,0,1,0.0017197272696467
768,2,5050,0,1,0.00168881015719385
768,3,5050,0,2,0.0016526600690292
768,3,5050,1,1,0.00252094243047432
768,3,5050,1,1,0.000903315971057336
768,3,5050,0,1,0.00046434571376294
768,3,5050,0,1,0.000452259010275933
768,3,5050,0,2,0.00044078483008871
768,4,5050,-1,2,0.000643743341369953
768,1,5050,1,2,0.00063183873779769
768,4,5050,-1,2,4.30526723368044e-05
768,1,5050,0,1,4.15767908169494e-05
768,1,5050,1,1,4.61179156736292e-05
768,4,5050,0,1,1.30912127684901e-05
768,2,5050,0,1,1.25021541626757e-05
768,2,5050,0,2,1.21988619482093e-05
768,2,5050,-1,1,1.34647772847922e-05
768,4,5050,-1,1,1.36386016401094e-05
768,2,5050,-1,2,1.45056980030256e-05
768,4,5050,-1,2,1.35181554688114e-05
768,4,5050,-1,1,1.29245523975961e-05
768,1,5050,1,2,1.39433717880814e-05
768,2,5050,-1,2,8.25858093106083e-06
768,1,5050,1,2,7.58254026844409e-06
768,3,5050,1,2,1.04236349028847e-05
768,1,5050,0,1,1.08204940603935e-06
768,1,5050,0,2,1.06050811891537e-06
768,3,5050,0,2,9.7195835380434e-07
768,3,5050,0,1,1.24101486151119e-06
768,1,5050,0,2,1.18389929733761e-06
768,2,5050,0,2,1.08712424214688e-06
768,1,5050,0,1,1.18534700643058e-06
768,1,5050,0,2,1.16762628374584e-06
768,2,5050,0,2,1.07682841091439e-06
768,3,5050,0,2,1.15415850946888e-06
768,3,5050,0,2,1.45494842697848e-06
768,4,5050,-1,1,1.81094448661892e-06
768,2,5050,0,2,1.93088447526885e-06
768,4,5050,-1,1,2.0395359722008e-06
768,3,5050,0,1,2.15265850873996e-06
768,2,5050,-1,1,2.06096450731299e-06
768,2,5050,0,1,2.0585383647925e-06
768,4,5050,0,1,2.07691751540958e-06
768,1,5050,0,2,1.98263715394025e-06
768,3,5050,1,1,1.83148058851221e-06
768,4,5050,0,1,9.97187020727866e-06
768,1,5050,1,2,9.4845469234733e-06
768,3,5050,0,2,4.37217082387761e-05
768,4,5050,-1,1,5.27297968872828e-05
768,2,5050,0,2,5.58170038673595e-05
768,3,5050,1,1,5.78720564121821e-05
768,3,5050,0,1,0.000116549906921866
768,1,5050,0,2,0.000112865123912695
768,2,5050,-1,2,0.000101273576854636
768,2,5050,0,2,9.78448440899703e-05
768,4,5050,-1,1,0.000101570108487159
768,3,5050,1,1,0.000106633259914585
768,4,5050,-1,1,0.000161984912819641
768,1,5050,0,2,0.000168828521155925
768,4,5050,0,2,0.000151835414879525
768,2,5050,0,2,0.000147584143026231
768,2,5050,0,1,0.000151622932150598
768,1,5050,0,2,0.000155629911608845
768,4,5050,0,1,0.000140271061155399
768,2,5050,-1,2,0.00013802054391887
768,3,5050,0,1,0.00013193963321671
768,4,5050,0,2,0.000128358067485093
768,1,5050,1,1,0.000125260604462673
768,1,5050,0,1,0.000158705709850514
768,4,5050,0,1,0.000146525216818332
768,3,5050,1,2,0.000146280047754179
768,4,5050,-1,2,6.76299160299034e-05
768,2,5050,-1,2,6.91801109208488e-05
768,2,5050,-1,1,6.5316177120696e-05
768,1,5050,0,1,6.70826481353187e-05
768,2,5050,0,1,6.2001366517796e-05
768,4,5050,0,1,6.13931279508081e-05
768,4,5050,-1,1,5.98926105415526e-05
768,1,5050,1,1,6.1780935807121e-05
768,1,5050,1,2,0.0001545029135844
768,2,5050,-1,2,0.00206177011673753
768,1,5050,1,2,0.00193942741442066
768,4,5050,-1,1,0.00780684286087343
768,1,5050,0,2,0.00799842084221625
768,2,5050,-1,1,0.00712891148999181
768,2,5050,-1,1,0.00745805565491774
768,3,5050,0,2,0.00769879372052577
768,3,5050,0,1,0.00821551285834835
768,4,5050,-1,1,0.00786732822532035
768,4,5050,-1,1,0.00801341573454377
768,3,5050,0,1,0.00811966656930695
768,1,5050,0,2,0.00777935699015067
768,2,5050,0,1,0.00694521820043711
768,3,5050,0,1,0.00683166296444868
768,3,5050,1,1,0.0065481959594949
768,3,5050,1,1,0.00999437949060489
768,2,5050,-1,2,0.0136548428892769
768,3,5050,0,2,0.0130646543366482
768,1,5050,1,2,0.0134973308039299
768,3,5050,1,1,0.0353840541083596
768,1,5050,0,2,0.0438731935450348
768,1,5050,0,2,0.0396896884314873
768,4,5050,0,1,0.035935127487515
768,2,5050,-1,1,0.0356153719422117
768,3,8020,1,2,0.00100002435915758
768,1,8020,1,2,0.00100002435915758
768,2,8020,-1,1,0.00100002435915758
768,2,8020,0,2,0.00100002435915758
768,1,8020,1,2,0.000943243965798589
768,1,8020,1,2,0.000943243965798589
768,1,8020,1,2,0.000943243965798589
768,4,8020,0,1,0.000943243965798589
768,1,8020,0,1,0.000943243965798589
768,2,8020,-1,2,0.00143837871292697
768,4,8020,-1,2,0.00153899111158932
768,1,8020,0,1,0.00145165318741684
768,3,8020,0,2,0.00213187418610994
768,1,8020,1,2,0.00213187418610994
768,1,8020,1,2,0.00194354217211315
768,3,8020,0,2,0.00177909708827392
768,4,8020,-1,2,0.00177909708827392
768,4,8020,0,1,0.00168358478690875
768,1,8020,1,2,0.00151201104308239
768,2,8020,-1,2,0.00138923177923521
768,3,8020,1,2,0.00147078128730548
768,2,8020,-1,1,0.00147078128730548
768,1,8020,1,2,0.00154725272283232
768,1,8020,1,2,0.00142652495886938
768,3,8020,1,1,0.00131939095281546
768,4,8020,-1,2,0.000785294816885349
768,4,8020,0,1,0.000709090127109222
768,2,8020,0,2,0.000610645152011592
768,1,8020,1,2,0.000554123567187075
768,4,8020,-1,2,0.00051398382248156
768,2,8020,0,2,0.000445772803111794
768,1,8020,0,2,0.000406332110272279
768,3,8020,0,2,0.00040909690533321
768,2,8020,-1,1,0.000442317741988496
768,4,8020,-1,2,0.00042091029274182
768,3,8020,0,2,0.000367414272346457
768,4,8020,0,2,0.000395162547438183
768,4,8020,-1,1,0.000463175331006455
768,2,8020,0,2,0.000586560214712613
768,3,8020,1,1,0.000515052329136823
768,3,8020,0,1,0.000268480870890544
768,2,8020,-1,1,0.000328320412595805
768,2,8020,-1,1,0.000298608188055165
768,2,8020,-1,1,0.000270977447829807
768,3,8020,1,1,0.000245616708188766
768,4,8020,0,1,0.000121387951289824
768,1,8020,0,2,0.00010186804032786
768,4,8020,0,1,0.000102511417829201
768,3,8020,1,1,8.64168168302685e-05
768,4,8020,-1,2,3.80847300415678e-05
768,2,8020,0,1,3.24744724148784e-05
768,1,8020,0,1,3.71232123803915e-05
768,3,8020,0,1,5.81584343984142e-05
768,2,8020,0,2,6.57922516334744e-05
768,4,8020,-1,2,5.410907895999e-05
768,3,8020,0,2,4.63021711702178e-05
768,2,8020,0,2,5.81658395047358e-05
768,3,8020,1,1,4.80730859304729e-05
768,3,8020,1,1,1.65432748755054e-05
768,4,8020,0,1,3.09716621143807e-06
768,4,8020,0,1,2.45124773835686e-06
768,4,8020,0,1,1.95300353268937e-06
768,4,8020,0,1,1.56604166230042e-06
768,4,8020,0,2,1.26349802856556e-06
768,2,8020,-1,1,1.7104323391218e-06
768,2,8020,-1,2,1.46462958206198e-06
768,1,8020,1,2,1.90756912167034e-06
768,1,8020,1,2,1.72644547674384e-06
768,1,8020,1,2,1.56754858583701e-06
768,1,8020,1,2,1.42757046673213e-06
768,1,8020,1,2,1.30377684756662e-06
768,4,8020,0,1,1.1938943449992e-06
768,1,8020,0,2,9.91395602964744e-07
768,3,8020,0,1,1.01419067735136e-06
768,3,8020,1,1,1.07435882915782e-06
768,2,8020,0,2,1.84469169701687e-07
768,2,8020,0,2,1.49940154034957e-07
768,4,8020,0,1,1.22492247223637e-07
768,2,8020,-1,1,1.02113823034437e-07
768,1,8020,0,1,8.50152775369334e-08
768,2,8020,0,1,1.12079118331275e-07
768,3,8020,0,2,1.413894281849e-07
768,1,8020,1,2,1.78297385740365e-07
768,2,8020,0,2,1.59818835599525e-07
768,3,8020,0,2,1.31146941342875e-07
768,4,8020,0,1,1.63494189761015e-07
768,4,8020,0,1,1.36819250526366e-07
768,4,8020,-1,2,1.1492832470573e-07
768,1,8020,1,2,7.93667415784229e-08
768,3,8020,0,2,7.13489944527698e-08
768,2,8020,0,1,8.80257719887383e-08
768,3,8020,1,1,1.10492264504148e-07
768,4,8020,0,1,1.70187067882163e-07
768,4,8020,0,1,1.39949092761008e-07
768,3,8020,1,1,1.15566056419418e-07
768,3,8020,0,2,5.57593507153401e-07
768,4,8020,0,1,6.46114376263748e-07
768,3,8020,1,1,5.3570930918967e-07
768,1,8020,1,2,9.5631212913432e-07
768,4,8020,0,1,8.62083891289767e-07
768,3,8020,0,1,7.17582248861314e-07
768,2,8020,-1,1,6.96007378237703e-07
768,4,8020,-1,2,5.78110026906819e-07
768,2,8020,0,1,3.66811184096615e-07
768,1,8020,1,2,4.52908210822763e-07
768,2,8020,-1,1,4.09354681898291e-07
768,3,8020,1,1,3.43765931413397e-07
768,2,8020,0,2,4.67245909216931e-07
768,3,8020,1,1,3.83557449677156e-07
768,4,8020,0,1,4.53913283454102e-07
768,3,8020,1,1,3.70945280984685e-07
768,1,8020,0,2,4.04606174591512e-07
768,1,8020,0,1,4.20451771947464e-07
768,1,8020,1,2,4.9428876583074e-07
768,2,8020,-1,2,4.38869696553703e-07
768,2,8020,-1,1,5.77916455895181e-07
768,1,8020,1,2,4.86390633117192e-07
768,2,8020,-1,1,4.33053121005832e-07
768,3,8020,1,1,3.64477201310328e-07
768,3,8020,1,1,3.77049898741359e-07
768,4,8020,0,1,3.76066339317349e-07
768,1,8020,0,2,3.08603338247464e-07
768,4,8020,0,1,3.24270191854799e-07
768,1,8020,1,2,2.67164896689448e-07
768,3,8020,1,1,2.39098727971565e-07
768,1,8020,1,2,2.32295599676015e-07
768,2,8020,-1,1,2.08394681920326e-07
768,1,8020,1,2,1.75469698629686e-07
768,2,8020,0,2,1.5777962934835e-07
768,3,8020,1,1,1.22828383019235e-07
768,1,8020,0,2,1.17037651912514e-07
768,3,8020,1,1,1.235092005417e-07
768,4,8020,0,1,1.15971442998763e-07
768,1,8020,1,2,9.59177086291148e-08
768,1,8020,0,2,8.66225525314247e-08
768,3,8020,1,1,9.13501343045959e-08
768,1,8020,0,2,8.48145119077487e-08
768,3,8020,0,1,8.92116260600357e-08
768,1,8020,1,2,9.20688660663169e-08
768,4,8020,-1,2,8.36369615646537e-08
768,1,8020,1,2,4.93330565149849e-08
768,2,8020,0,2,4.48962740387282e-08
768,3,8020,1,1,3.50417925279597e-08
768,1,8020,1,2,3.24255348295244e-08
768,1,8020,1,1,2.95608621161067e-08
768,2,8020,0,2,2.9531592757943e-08
768,4,8020,0,1,2.311395938266e-08
768,4,8020,0,1,1.88091541184104e-08
768,3,8020,1,1,1.53671872068959e-08
768,3,8020,1,1,1.41199706731998e-08
768,4,8020,0,1,1.29020543456147e-08
768,2,8020,0,2,1.05816563836234e-08
768,2,8020,0,2,8.30639304722286e-09
768,2,8020,-1,2,6.54009657758137e-09
768,4,8020,0,1,9.36905779293336e-09
768,4,8020,0,1,7.71262945531115e-09
768,4,8020,0,1,6.37184795995235e-09
768,3,8020,0,1,5.28240635755492e-09
768,4,8020,-1,1,5.516565929323e-09
768,2,8020,-1,1,9.37733057170953e-09
768,3,8020,0,2,7.30189814426776e-09
768,3,8020,1,1,6.47747346609339e-09
768,3,8020,1,1,5.81497623015745e-09
768,2,8020,-1,1,5.20287841018359e-09
768,1,8020,1,2,4.058627729834e-09
768,4,8020,0,1,3.82197804513633e-09
768,4,8020,-1,2,3.19397691460899e-09
768,2,8020,0,1,1.73542344018531e-09
768,2,8020,0,2,2.39769669757859e-09
768,3,8020,0,1,1.87399955316933e-09
768,1,8020,1,2,1.98306658251439e-09
768,2,8020,0,2,1.86691168500903e-09
768,2,8020,0,2,1.46279932268281e-09
768,2,8020,0,2,1.14912882138518e-09
768,4,8020,0,1,9.05111815393211e-10
768,1,8020,0,2,7.45973119103152e-10
768,3,8020,1,2,7.76354947364398e-10
768,2,8020,-1,1,1.21233553786258e-09
768,3,8020,1,2,8.938567431267e-10
768,4,8020,-1,2,1.82099041570644e-09
