subj_i,state,block,reward,action,w
760,4,5050,0,1,0.5
760,1,5050,0,1,0.5
760,2,5050,-1,1,0.5
760,3,5050,0,1,0.5
760,4,5050,-1,1,0.5
760,2,5050,-1,2,0.5
760,3,5050,0,2,0.61499313262469
760,1,5050,1,2,0.620911272515049
760,1,5050,1,1,0.589526543733991
760,2,5050,-1,1,0.185684532642374
760,2,5050,-1,2,0.227560700955674
760,3,5050,1,2,0.310167470513117
760,3,5050,1,2,0.285882633074848
760,1,5050,0,2,0.265124476812832
760,1,5050,0,1,0.254845389665211
760,3,5050,1,1,0.245666093432689
760,1,5050,0,2,0.132699114199285
760,2,5050,0,2,0.127861619682723
760,2,5050,-1,1,0.10733465572934
760,2,5050,-1,1,0.127955729799359
760,1,5050,1,2,0.142999070731339
760,2,5050,0,1,0.317111090563565
760,1,5050,0,2,0.299551347185833
760,3,5050,0,1,0.28671207202993
760,3,5050,1,2,0.259909311056367
760,4,5050,0,2,0.38151704472785
760,1,5050,1,2,0.360273880208645
760,3,5050,0,2,0.50690163240714
760,4,5050,0,2,0.495712071796035
760,2,5050,-1,2,0.474511000225492
760,4,5050,-1,1,0.575533015472047
760,4,5050,-1,2,0.526525500764231
760,3,5050,0,2,0.688665131798883
760,4,5050,0,1,0.6790911163559
760,1,5050,0,2,0.677957106156504
760,3,5050,0,2,0.668397748012046
760,1,5050,0,2,0.658697484976181
760,3,5050,0,2,0.649099057663044
760,4,5050,-1,1,0.639378478057192
760,1,5050,0,2,0.646687075622776
760,3,5050,0,2,0.637201244433867
760,4,5050,-1,2,0.627607390769947
760,4,5050,0,1,0.726363266557903
760,4,5050,-1,2,0.714356379621959
760,4,5050,0,1,0.75841220975235
760,3,5050,1,2,0.735705518381612
760,2,5050,0,1,0.785554625175662
760,2,5050,-1,1,0.759222109857183
760,4,5050,0,1,0.791931024315295
760,4,5050,0,1,0.771608527011489
760,2,5050,0,1,0.750287086648514
760,1,5050,1,2,0.725093012846827
760,4,5050,-1,1,0.776335237088574
760,2,5050,0,1,0.81929835348159
760,3,5050,0,2,0.799526239952451
760,2,5050,0,1,0.794531166171362
760,3,5050,0,2,0.773294292953825
760,2,5050,0,2,0.767879758989424
760,1,5050,0,1,0.75020842767132
760,1,5050,1,2,0.713639872189107
760,3,5050,1,2,0.733050104875886
760,3,5050,0,2,0.763398111611244
760,1,5050,1,2,0.759128075194837
760,2,5050,0,1,0.765486495743271
760,3,5050,1,2,0.749356824237343
760,2,5050,0,1,0.767976432640396
760,2,5050,-1,1,0.751859179483437
760,2,5050,0,1,0.780745400811436
760,1,5050,1,2,0.767128585341341
760,1,5050,1,1,0.767110531516172
760,4,5050,-1,1,0.979366661199106
760,3,5050,1,2,0.983011003464848
760,4,5050,-1,1,0.984026655330372
760,2,5050,-1,2,0.986222158320074
760,2,5050,-1,1,0.987726161224794
760,2,5050,0,1,0.989837964864645
760,4,5050,-1,1,0.988718967751308
760,4,5050,0,1,0.989935266479481
760,4,5050,-1,1,0.989249185326418
760,1,5050,1,2,0.99025024379406
760,3,5050,0,2,0.990949045948167
760,2,5050,0,1,0.990833275325418
760,2,5050,-1,1,0.989830780317678
760,3,5050,0,2,0.991445013989501
760,4,5050,-1,1,0.991327943610468
760,3,5050,1,1,0.991973396032495
760,3,5050,1,2,0.999281198001954
760,2,5050,-1,1,0.999380803742789
760,3,5050,0,1,0.999465017812723
760,4,5050,-1,1,0.999298098321355
760,4,5050,-1,1,0.999340051314554
760,1,5050,0,2,0.999371356512603
760,4,5050,0,1,0.999357071193778
760,3,5050,0,2,0.999332570003979
760,3,5050,0,2,0.999311621020697
760,1,5050,1,2,0.999289529658926
760,1,5050,1,2,0.99932726679788
760,4,5050,-1,1,0.999349043346733
760,3,5050,1,2,0.999377320702259
760,3,5050,1,2,0.999433577103766
760,1,5050,0,2,0.999471982561312
760,1,5050,1,2,0.999466820471828
760,2,5050,0,1,0.999479266930096
760,2,5050,-1,1,0.999431212829181
760,4,5050,-1,1,0.999500777524253
760,1,5050,1,2,0.999518109769297
760,1,5050,0,2,0.999523315720672
760,1,5050,0,1,0.999523019015516
760,1,5050,1,1,0.999273580306233
760,3,5050,1,1,0.99988422034229
760,3,5050,1,2,0.999975637661059
760,2,5050,-1,1,0.999978223009962
760,4,5050,-1,1,0.999980522268263
760,2,5050,0,1,0.999981056402751
760,4,5050,0,1,0.999979570483954
760,1,5050,0,2,0.999979073036483
760,4,5050,-1,1,0.999978763293375
760,1,5050,0,2,0.999979315850324
760,4,5050,-1,1,0.999978938057996
760,2,5050,-1,1,0.999979370423906
760,3,5050,1,2,0.999981362984786
760,4,5050,0,1,0.999982986924759
760,4,5050,-1,1,0.999982664906678
760,4,5050,0,1,0.999983008628298
760,1,5050,1,2,0.999982694968658
760,3,5050,0,2,0.999983315265344
760,2,5050,0,1,0.999982639468651
760,4,5050,-1,1,0.999981373202054
760,3,5050,0,2,0.999981730083588
760,3,5050,1,2,0.999980975438118
760,1,5050,0,2,0.99998249905558
760,2,5050,-1,1,0.99998223685814
760,2,5050,0,1,0.999983816525224
760,2,5050,-1,1,0.999982713700685
760,4,5050,-1,1,0.999984137035774
760,4,5050,-1,1,0.999984379715269
760,3,5050,1,1,0.999984565980735
760,2,5050,0,1,0.999994165946748
760,3,5050,0,2,0.999993792969626
760,1,5050,1,2,0.999993403761248
760,3,5050,0,2,0.99999359659302
760,4,5050,0,2,0.999993194529263
760,1,5050,1,2,0.999989877257242
760,3,5050,1,2,0.999990068604568
760,1,5050,1,2,0.999991187420428
760,1,5050,1,2,0.999991277929277
760,2,5050,0,1,0.99999130420319
760,1,5050,0,2,0.999990745221008
760,4,5050,-1,2,0.999990767524704
760,2,5050,-1,1,0.999994593841076
760,1,5050,1,2,0.999995027187138
760,1,5050,1,2,0.99999503347327
760,2,5050,0,1,0.999995012935212
760,3,5050,1,2,0.999994710937065
760,3,5050,0,2,0.999995231773494
760,2,5050,-1,1,0.99999497369695
760,4,5050,-1,1,0.999995349797445
760,2,5050,0,1,0.999995368972436
760,4,5050,-1,1,0.999995103943871
760,1,5050,0,2,0.99999510854513
760,3,5050,0,1,0.999995143673335
760,2,5050,-1,1,0.99999373729122
760,1,5050,0,2,0.999994176458665
760,3,5050,1,2,0.999994199156683
760,4,5050,-1,1,0.99999460746153
760,1,5050,0,2,0.99999459740647
760,3,5050,0,2,0.999994602782442
760,4,5050,-1,1,0.999994402821683
760,2,5050,0,1,0.999994378528154
760,2,5050,0,1,0.999994073618948
760,1,5050,1,1,0.999993750863357
760,3,5050,0,2,0.999998135045885
760,1,5050,1,2,0.999998064092602
760,4,5050,-1,1,0.99999811941347
760,4,5050,0,1,0.999998107133229
760,3,5050,1,2,0.999998131472904
760,2,5050,-1,2,0.999998256556545
760,1,5050,1,2,0.999998436120156
760,4,5050,-1,1,0.999998471490016
760,2,5050,-1,1,0.999998463423122
760,4,8020,0,1,0.00663250720165604
760,4,8020,-1,1,0.00663250720165604
760,1,8020,0,2,0.00663250720165604
760,3,8020,1,1,0.00663250720165604
760,4,8020,0,1,0.00663250720165605
760,3,8020,1,2,0.00663250720165605
760,1,8020,0,1,0.00104290174551433
760,1,8020,1,2,0.00106934730893698
760,4,8020,0,1,0.000952215621686758
760,2,8020,-1,1,0.000952215621686758
760,1,8020,1,2,0.000952215621686759
760,1,8020,1,2,0.000858210904576209
760,2,8020,-1,1,0.000781099162131384
760,1,8020,1,2,0.000781099162131385
760,4,8020,-1,2,0.000716702221026644
760,4,8020,0,1,0.000835893266502517
760,2,8020,-1,1,0.00076698234764124
760,3,8020,1,2,0.00076698234764124
760,4,8020,-1,2,0.00245963161391933
760,3,8020,0,1,0.00220953411983662
760,3,8020,1,2,0.00187089393910314
760,2,8020,0,2,0.00348848225477618
760,4,8020,-1,1,0.00245696467303473
760,4,8020,0,1,0.00400527428100066
760,4,8020,0,1,0.00347734464009439
760,1,8020,0,2,0.00304724704512376
760,2,8020,0,2,0.00311624887968941
760,1,8020,0,1,0.00227750569988757
760,3,8020,1,1,0.00215127759581964
760,2,8020,-1,2,0.0203800185686648
760,2,8020,-1,1,0.0514535130296845
760,3,8020,1,1,0.0492163117875555
760,1,8020,0,2,0.161716683316456
760,4,8020,0,2,0.166516140425787
760,2,8020,-1,1,0.176681564175687
760,3,8020,0,2,0.167637770295887
760,2,8020,0,2,0.139164343578905
760,3,8020,1,2,0.0976398344498842
760,2,8020,-1,1,0.175924628836891
760,2,8020,0,2,0.157063264112126
760,3,8020,1,1,0.107962751693397
760,1,8020,1,2,0.213092599079644
760,4,8020,0,1,0.191724166752701
760,4,8020,0,1,0.176655852646446
760,3,8020,0,2,0.163119679748657
760,2,8020,-1,1,0.132523035800001
760,1,8020,1,2,0.111855195683229
760,1,8020,0,2,0.100096496884192
760,1,8020,1,2,0.104271149076757
760,3,8020,1,1,0.0943940719414762
760,3,8020,0,2,0.145247733040848
760,1,8020,1,2,0.113385718820019
760,3,8020,0,2,0.103279204666327
760,1,8020,0,1,0.080847374193301
760,2,8020,0,2,0.0644629065031651
760,4,8020,0,2,0.041851062591026
760,3,8020,1,1,0.0452822590609479
760,4,8020,0,1,0.0571550346856527
760,2,8020,0,2,0.053216464266877
760,2,8020,0,1,0.0353570821089465
760,1,8020,1,2,0.047083586463165
760,2,8020,0,2,0.0409596910139552
760,1,8020,1,2,0.028705227232229
760,4,8020,0,1,0.0250740124532618
760,2,8020,0,2,0.0233378286420857
760,1,8020,1,2,0.0165596662505203
760,2,8020,-1,2,0.0145299963932145
760,3,8020,1,1,0.0393550643739719
760,3,8020,0,2,0.0458214243240141
760,1,8020,1,2,0.0328364963332578
760,4,8020,0,1,0.0290288926445799
760,1,8020,0,2,0.0270800097575646
760,3,8020,1,1,0.0297174632306888
760,1,8020,1,2,0.0314581990114847
760,2,8020,0,2,0.0280761052467589
760,1,8020,1,2,0.0206675309379109
760,3,8020,1,1,0.0185034589890487
760,3,8020,1,1,0.0188695602814777
760,3,8020,1,1,0.0187271278404871
760,3,8020,1,1,0.0182204888186566
760,4,8020,-1,2,0.0174679824275349
760,1,8020,0,2,0.0131181722382565
760,1,8020,0,2,0.0143947402322653
760,4,8020,0,1,0.0156529645383221
760,3,8020,0,1,0.0140437320982659
760,3,8020,1,1,0.0148864530278401
760,4,8020,-1,2,0.0143188496235919
760,4,8020,0,2,0.00984005621571741
760,2,8020,0,2,0.0119625804480275
760,2,8020,0,2,0.00888322898139665
760,4,8020,-1,1,0.00667153396107931
760,3,8020,1,1,0.0111900588186254
760,4,8020,-1,2,0.0106597950907478
760,2,8020,-1,1,0.00816189720095531
760,4,8020,0,1,0.00547171975385822
760,4,8020,-1,2,0.00469544794090711
760,4,8020,0,1,0.0033867202220368
760,2,8020,0,2,0.00282624820903827
760,4,8020,0,1,0.00206986579644494
760,1,8020,1,2,0.0017352026205836
760,4,8020,0,1,0.00156819365896748
760,4,8020,0,1,0.00132057571788271
760,3,8020,1,1,0.00111691480135084
760,2,8020,0,2,0.00105560127791097
760,2,8020,0,2,0.000781747493130945
760,2,8020,0,2,0.000585178942340962
760,3,8020,1,1,0.000442441925519305
760,4,8020,0,1,0.000415738200426115
760,3,8020,0,1,0.000353059732788745
760,3,8020,0,1,0.000385641201947347
760,1,8020,1,2,0.000413293349006984
760,2,8020,-1,2,0.000374707220679511
760,1,8020,1,2,0.00095094674217288
760,2,8020,0,2,0.000864886713976327
760,1,8020,1,2,0.000667349606755355
760,1,8020,1,2,0.000608709921475087
760,1,8020,1,2,0.000556743121785507
760,2,8020,-1,2,0.000510526568120142
760,2,8020,0,2,0.0010993703549455
760,3,8020,0,2,0.000863335719186919
760,3,8020,1,1,0.000501043788698284
760,1,8020,1,2,0.000465134702615606
760,4,8020,0,1,0.00042755983094707
760,3,8020,0,1,0.000364570263048564
760,2,8020,-1,2,0.000399706578995039
760,4,8020,0,1,0.000766836999309268
760,2,8020,0,2,0.000656432420794637
760,2,8020,0,2,0.000523417702329295
760,4,8020,-1,1,0.000419904685230157
760,2,8020,0,2,0.000783015272798797
760,4,8020,0,2,0.000631851251668554
760,2,8020,0,1,0.000824004067602176
760,2,8020,0,2,0.00125832640148193
760,1,8020,0,2,0.00103390449980808
760,4,8020,0,1,0.00113873192543347
760,3,8020,0,2,0.000995029728720132
760,1,8020,1,2,0.000587561834667596
760,4,8020,-1,1,0.000542528722811084
760,1,8020,1,2,0.000889235338898859
760,1,8020,0,2,0.00082279812357832
760,2,8020,-1,1,0.000902760520686262
760,4,8020,0,1,0.000553068750514238
760,4,8020,-1,2,0.000487999811446263
760,3,8020,1,1,0.000320611966124172
760,3,8020,1,1,0.00029169467881951
760,1,8020,1,2,0.000264596304461091
760,4,8020,0,1,0.000245755381648042
760,2,8020,0,2,0.000212490219422132
760,3,8020,1,1,0.000171378160653699
760,4,8020,0,1,0.000155106235087487
760,1,8020,0,2,0.000134461169503232
760,2,8020,-1,1,0.000146752117941518
760,1,8020,1,2,8.77839803244186e-05
760,1,8020,1,2,8.18155780804174e-05
760,4,8020,0,1,7.63762186375638e-05
760,2,8020,0,2,6.63787663769362e-05
760,1,8020,0,2,5.26284356473753e-05
760,3,8020,0,1,5.72546686549895e-05
760,3,8020,1,1,6.50319851703773e-05
760,1,8020,1,2,5.92151516830336e-05
760,3,8020,0,1,5.54453560357044e-05
760,2,8020,0,2,6.23981681751564e-05
760,4,8020,-1,1,4.97262767648674e-05
760,2,8020,-1,2,8.15469701824017e-05
760,3,8020,0,1,0.000159656698342517
760,3,8020,1,1,0.00017706168899419
760,4,8020,0,1,0.000163173548365946
760,2,8020,0,2,0.00014302629705007
760,4,8020,0,1,0.000115317650057454
760,3,8020,1,1,0.000101295369395197
760,1,8020,1,2,9.31801012272387e-05
760,1,8020,1,2,8.7371466308518e-05
760,3,8020,1,1,8.20357805545919e-05
760,3,8020,1,1,7.53561117648843e-05
760,1,8020,1,2,6.91447416394186e-05
760,3,8020,1,1,6.50063212746969e-05
760,2,8020,-1,1,5.95994593099389e-05
760,4,8020,0,1,3.48996402019418e-05
760,2,8020,-1,2,3.07198946238159e-05
760,1,8020,0,2,5.78218078545605e-05
