subj_i,state,block,reward,action,w
797,4,5050,0,1,0.5
797,1,5050,1,2,0.5
797,1,5050,0,1,0.5
797,1,5050,0,2,0.576119511892878
797,3,5050,1,2,0.576171557256811
797,2,5050,-1,2,0.576171557256811
797,2,5050,0,2,0.576171557256811
797,3,5050,1,1,0.576171557256811
797,1,5050,1,2,0.00623639666152807
797,1,5050,1,2,0.00531733492522076
797,2,5050,0,1,0.00463436553357714
797,3,5050,0,2,0.00412128362929564
797,4,5050,-1,1,0.00340692227384741
797,3,5050,1,1,0.00340692227384741
797,1,5050,1,1,0.293888018484459
797,3,5050,1,2,0.313103628126257
797,2,5050,0,1,0.991502716457035
797,1,5050,1,2,0.990473796412727
797,2,5050,-1,2,0.99199021106385
797,4,5050,-1,1,0.989233967006126
797,3,5050,0,2,0.989233967006126
797,1,5050,1,2,0.986088190494459
797,4,5050,-1,1,0.987160979602845
797,4,5050,0,1,0.987160979602845
797,3,5050,0,2,0.987160979602845
797,1,5050,0,2,0.983900828027186
797,4,5050,0,1,0.983482311301535
797,1,5050,0,2,0.983482311301535
797,1,5050,1,2,0.982948289276102
797,2,5050,-1,1,0.984014645954568
797,2,5050,-1,1,0.991858362670199
797,4,5050,0,1,0.994115002362826
797,2,5050,0,1,0.994115002362826
797,4,5050,-1,1,0.993260963820942
797,2,5050,0,1,0.993260963820942
797,4,5050,0,1,0.992297426263943
797,3,5050,1,2,0.992297426263943
797,4,5050,0,2,0.996818950476299
797,2,5050,-1,1,0.996159611709995
797,3,5050,1,1,0.996986576988528
797,1,5050,1,2,0.998451495122961
797,2,5050,0,1,0.998506781202519
797,3,5050,0,2,0.998336609558981
797,3,5050,0,2,0.997825885285791
797,2,5050,0,1,0.997220815412232
797,2,5050,-1,1,0.996910644936569
797,3,5050,0,2,0.997455650922113
797,2,5050,-1,1,0.9968080775714
797,3,5050,1,2,0.997222365442659
797,4,5050,0,1,0.998623189933807
797,1,5050,1,2,0.998684707586492
797,4,5050,-1,1,0.998708407152531
797,1,5050,1,2,0.998614600063568
797,3,5050,1,2,0.998623245623359
797,4,5050,-1,1,0.999160163291202
797,3,5050,0,2,0.999103274458091
