subj_i,state,block,reward,action,w
760,4,5050,-1,1,0.5
760,3,5050,0,2,0.5
760,1,5050,0,1,0.5
760,1,5050,1,1,0.5
760,3,5050,1,1,0.5
760,1,5050,0,2,0.467194838109392
760,2,5050,0,1,0.507983666448364
760,4,5050,0,2,0.507983666448364
760,4,5050,0,1,0.475152473745556
760,4,5050,0,1,0.485223269085089
760,2,5050,-1,1,0.493028710081172
760,4,5050,-1,1,0.493028710081171
760,1,5050,1,1,0.469509900218296
760,3,5050,1,1,0.443702822365557
760,1,5050,0,2,0.415256443254963
760,2,5050,0,1,0.437103575461777
760,4,5050,-1,2,0.437103575461777
760,3,5050,1,2,0.578990186975423
760,1,5050,1,2,0.415181561505047
760,2,5050,0,2,0.25578323849513
760,3,5050,1,1,0.244562468099081
760,3,5050,0,1,0.376799756055663
760,1,5050,0,2,0.361187590327856
760,3,5050,0,2,0.333012186355771
760,4,5050,0,1,0.28722456560783
760,4,5050,-1,1,0.277850537832994
760,3,5050,0,1,0.302124428231965
760,3,5050,1,1,0.292771308716101
760,3,5050,1,1,0.341217000271407
760,4,5050,0,2,0.364288606954946
760,1,5050,0,2,0.331487576028807
760,4,5050,0,1,0.306456701417211
760,1,5050,1,2,0.305760493536417
760,2,5050,0,1,0.743625247279461
760,3,5050,1,1,0.748345461528628
760,2,5050,0,2,0.756154938420444
760,2,5050,0,1,0.748770647869716
760,1,5050,1,2,0.755713169556986
760,3,5050,1,2,0.899490419634112
760,2,5050,0,1,0.992548043404362
760,4,5050,0,1,0.99277540013929
760,4,5050,0,1,0.9927126919578
760,2,5050,-1,1,0.992621132002809
760,3,5050,1,2,0.991505922847782
760,1,5050,1,2,0.998302597267086
760,4,5050,-1,1,0.999029314389842
760,1,5050,1,2,0.999069323430458
760,1,5050,0,2,0.999350864126907
760,3,5050,1,2,0.999287833835548
760,2,5050,0,2,0.999729050359473
760,2,5050,-1,2,0.999706674096641
760,1,5050,1,1,0.999812262986537
760,4,5050,-1,1,0.999949459359361
760,1,5050,1,2,0.999950157177056
760,4,5050,-1,1,0.999965706680651
760,2,5050,0,1,0.999965567626327
760,2,5050,-1,1,0.999965347940307
760,2,5050,0,1,0.999966572091229
760,3,5050,0,2,0.999966676064472
760,2,5050,0,2,0.999955053892512
760,4,5050,-1,1,0.999952209767847
760,4,5050,-1,1,0.999951440156727
760,1,5050,1,2,0.999950253983133
760,3,5050,1,2,0.999962680132597
760,3,5050,0,2,0.999981474979576
760,2,5050,0,1,0.999975921508855
760,2,5050,-1,1,0.999976251334409
760,3,5050,0,2,0.999975506674591
760,3,5050,1,2,0.999968464094724
760,1,5050,1,2,0.999982106964189
760,1,5050,1,2,0.999985754016281
760,3,5050,1,2,0.999988158968701
760,4,5050,-1,1,0.999992428870106
760,1,5050,1,2,0.999992199753227
760,1,5050,0,2,0.999993303633375
760,2,5050,0,1,0.999992644260489
760,2,5050,0,1,0.999992793902853
760,4,5050,0,1,0.999992906900026
760,3,5050,0,2,0.999993103628041
760,3,5050,1,2,0.999991493757859
760,4,5050,0,2,0.999994165303894
760,2,5050,-1,1,0.999992014034707
760,3,5050,0,2,0.999991712113402
