subj_i,state,block,reward,action,w
751,2,5050,0,2,0.5
751,2,5050,-1,2,0.5
751,4,5050,0,1,0.5
751,1,5050,1,1,0.5
751,1,5050,0,2,0.5
751,1,5050,0,2,0.465033753908387
751,3,5050,1,2,0.434638406914321
751,3,5050,0,2,0.434638406914321
751,1,5050,1,1,0.434638406914321
751,3,5050,1,1,0.378666982298779
751,3,5050,1,2,0.418512228572504
751,3,5050,1,2,0.465329095600467
751,4,5050,-1,2,0.498146404573287
751,4,5050,-1,2,0.463189701665458
751,2,5050,0,2,0.432817369251961
751,4,5050,-1,2,0.432817369251961
751,4,5050,0,1,0.406183081957584
751,4,5050,-1,1,0.446958341187108
751,4,5050,0,1,0.267454154309602
751,1,5050,1,1,0.250023318176633
751,4,5050,-1,1,0.213074136806928
751,2,5050,0,2,0.342663627470508
751,1,5050,1,2,0.342663627470508
751,3,5050,1,1,0.502387944377363
751,1,5050,1,1,0.575748798641861
751,3,5050,0,2,0.555167108703561
751,1,5050,1,2,0.51236484824638
751,2,5050,-1,1,0.640265216068052
751,1,5050,0,2,0.340149277982431
751,1,5050,1,1,0.272591109617664
751,2,5050,0,2,0.254828960345178
751,2,5050,0,2,0.268954113971437
751,1,5050,0,1,0.282218083350171
751,2,5050,0,1,0.309202472961336
751,2,5050,0,2,0.33319738609345
751,4,5050,0,1,0.34702066775122
751,2,5050,-1,1,0.297067883564956
751,4,5050,-1,2,0.0351261269232223
751,4,5050,-1,1,0.0583876987791318
751,3,5050,1,2,0.590944454115443
751,4,5050,-1,2,0.635015457817384
751,3,5050,1,2,0.716317182854597
751,2,5050,0,1,0.745146808975342
751,4,5050,0,1,0.73426527894579
751,3,5050,1,1,0.669131672876536
751,2,5050,0,2,0.719394846035337
751,3,5050,1,2,0.719197519441522
751,2,5050,0,1,0.751076251954205
751,3,5050,1,1,0.741604074041483
751,4,5050,-1,1,0.777990597616945
751,3,5050,0,2,0.933878102060326
751,1,5050,1,2,0.9173168041831
751,2,5050,0,1,0.943806789898801
751,1,5050,0,2,0.941214690336124
751,3,5050,1,2,0.924556974149637
751,1,5050,0,2,0.936403662747145
751,2,5050,-1,2,0.919306164895986
751,3,5050,1,2,0.913805314551222
751,1,5050,0,1,0.925400645723843
751,4,5050,-1,1,0.934069509760857
751,4,5050,0,2,0.972888192614368
751,1,5050,1,2,0.968402365370882
751,4,5050,-1,1,0.976772220821036
751,1,5050,0,2,0.987687227788398
