subj_i,state,block,reward,action,w
791,1,8020,1,2,0.5
791,4,8020,0,2,0.5
791,3,8020,0,2,0.5
791,2,8020,0,2,0.5
791,4,8020,-1,2,0.5
791,2,8020,-1,2,0.5
791,2,8020,-1,1,0.5
791,2,8020,0,2,0.468551290491734
791,2,8020,-1,1,0.471417192192832
791,3,8020,0,2,0.434747335566918
791,2,8020,-1,1,0.434747335566918
791,1,8020,0,1,0.395007380735219
791,2,8020,-1,1,0.392631986170962
791,2,8020,0,1,0.349590672655638
791,4,8020,-1,2,0.352218885178527
791,4,8020,0,1,0.352218885178527
791,2,8020,0,2,0.357821218336896
791,1,8020,1,2,0.36798580030291
791,2,8020,0,2,0.365697424385975
791,1,8020,1,2,0.375843650275084
791,3,8020,0,2,0.373557782972784
791,4,8020,-1,1,0.373557782972784
791,1,8020,1,2,0.316220852320044
791,2,8020,0,2,0.3141354226701
791,4,8020,-1,2,0.323479397608033
791,4,8020,0,1,0.290722981259878
791,3,8020,0,2,0.297794069005868
791,1,8020,1,2,0.297794069005868
791,1,8020,1,2,0.295796854507035
791,4,8020,-1,2,0.29382625096038
791,1,8020,1,2,0.257084530261072
791,3,8020,1,1,0.255295258572562
791,2,8020,0,2,0.247910454841666
791,3,8020,1,1,0.25593343313971
791,3,8020,0,2,0.248607472327197
791,4,8020,-1,1,0.245066299476669
791,4,8020,-1,1,0.145953585581396
791,3,8020,1,1,0.0747557611637234
791,3,8020,1,1,0.0715123123525115
791,1,8020,1,2,0.0684281058257782
791,4,8020,0,1,0.0678374936470364
791,1,8020,0,2,0.0704949011248128
791,3,8020,1,2,0.0706145449019956
791,1,8020,1,2,0.0931172510767706
791,2,8020,0,2,0.0923489058431372
791,1,8020,0,2,0.095941451164203
791,1,8020,1,2,0.0961038346040476
791,4,8020,-1,1,0.0953275623611755
791,4,8020,0,1,0.0407985660992004
791,3,8020,0,1,0.0423780696855411
791,3,8020,1,2,0.0422943913769585
791,3,8020,0,2,0.0544705714062563
791,3,8020,0,2,0.0526854943192611
791,3,8020,1,1,0.0509705202200056
791,4,8020,-1,1,0.0535420264774906
791,2,8020,0,2,0.017285219962951
791,1,8020,1,2,0.0180079073551974
791,2,8020,0,2,0.0178513901750823
791,4,8020,-1,2,0.0185895180738569
791,1,8020,1,2,0.00272547060013286
791,2,8020,-1,1,0.00270162755258183
791,3,8020,1,1,0.00205197937523505
791,4,8020,-1,2,0.00214458002031422
791,4,8020,-1,2,2.86475586849294e-05
791,2,8020,0,2,7.2056520987402e-06
791,4,8020,-1,2,7.57660057080191e-06
791,4,8020,0,1,4.94622025838569e-06
791,2,8020,-1,2,5.04563225106864e-06
791,4,8020,-1,2,2.10627960636735e-06
791,4,8020,-1,1,3.07216409892086e-06
791,1,8020,1,2,2.32622912421939e-06
791,3,8020,1,1,2.30600109132402e-06
791,1,8020,1,2,2.39416268074803e-06
791,4,8020,-1,2,2.37352339607864e-06
791,2,8020,0,2,1.17822461549009e-05
791,2,8020,0,2,1.23651646366689e-05
791,3,8020,1,2,1.29709526573043e-05
791,4,8020,0,1,1.91750799274946e-05
791,3,8020,1,1,1.88894155844016e-05
791,2,8020,0,2,2.03523661587649e-05
791,3,8020,1,1,2.13398146094334e-05
791,3,8020,1,1,2.281722949754e-05
791,1,8020,1,2,2.42306889423566e-05
791,1,8020,1,2,2.40235940101348e-05
791,4,8020,0,1,2.38200090779336e-05
791,4,8020,0,1,2.34674503344013e-05
791,4,8020,0,1,2.31223521162612e-05
791,4,8020,0,1,2.27845126269013e-05
791,1,8020,1,2,2.24537365861671e-05
791,2,8020,0,2,2.22650539234161e-05
791,3,8020,1,1,2.33349586005408e-05
791,2,8020,0,2,2.46288695773688e-05
791,1,8020,1,2,2.58011376953355e-05
791,2,8020,-1,1,2.55861337137621e-05
791,1,8020,1,2,1.31025161462589e-05
791,3,8020,0,1,1.29942322949165e-05
791,1,8020,1,2,1.28460404910768e-05
791,1,8020,1,2,1.27407464177748e-05
791,2,8020,-1,2,1.26371644216055e-05
791,1,8020,1,2,2.90057826875951e-06
791,2,8020,0,2,2.87718657561522e-06
791,3,8020,1,1,3.03395712219094e-06
791,2,8020,-1,1,3.18683440696938e-06
791,2,8020,0,2,6.39747339713461e-07
791,3,8020,1,1,6.78917963234998e-07
791,4,8020,0,1,7.09556762237628e-07
791,3,8020,1,1,6.99320982951543e-07
791,2,8020,0,1,7.27554674505576e-07
791,1,8020,1,2,7.47417847274904e-07
791,3,8020,1,1,7.41438508875549e-07
791,1,8020,1,2,7.68172593114051e-07
791,3,8020,1,1,7.62075989823172e-07
791,3,8020,1,1,7.8655927430693e-07
791,1,8020,0,2,8.09005770440562e-07
791,1,8020,1,2,8.11353190956269e-07
791,4,8020,0,1,8.05014499198274e-07
791,1,8020,0,2,7.93475140778304e-07
791,4,8020,0,2,7.95783536745641e-07
791,2,8020,0,2,7.58817942453608e-07
791,3,8020,1,1,8.04871387128791e-07
791,2,8020,-1,1,8.25194185095311e-07
791,2,8020,0,2,1.68388795826949e-08
791,3,8020,1,1,1.77156107606524e-08
791,3,8020,1,1,1.81094363715049e-08
791,3,8020,1,1,1.84616832157358e-08
791,4,8020,0,1,1.87734416089228e-08
791,3,8020,1,1,1.85130604687723e-08
791,3,8020,1,1,1.87818001589169e-08
791,1,8020,1,2,1.90132019471836e-08
791,3,8020,0,1,1.88669465490681e-08
791,4,8020,0,1,1.87975590513917e-08
791,4,8020,0,1,1.85384102533885e-08
791,4,8020,-1,2,1.82843631271726e-08
791,1,8020,0,2,1.31151709609879e-06
791,3,8020,1,1,1.31534082271232e-06
791,3,8020,0,1,1.32964842183169e-06
791,1,8020,0,2,1.32529862422796e-06
791,1,8020,1,2,1.32909292448565e-06
791,4,8020,0,1,1.31909975769874e-06
791,1,8020,0,2,1.29142079948353e-06
791,2,8020,0,2,1.29512532972969e-06
791,2,8020,-1,2,1.36196411373554e-06
791,1,8020,1,2,1.94745936618575e-07
791,4,8020,-1,1,1.93303374391788e-07
791,3,8020,1,1,3.14421294859414e-07
791,3,8020,1,1,3.17423890171951e-07
791,1,8020,0,2,3.19889534383463e-07
791,2,8020,-1,2,3.20808582955608e-07
791,2,8020,0,2,1.03714646716781e-07
791,2,8020,-1,2,1.0551557323201e-07
791,2,8020,-1,2,6.09162112403026e-08
791,1,8020,1,2,5.85187937270612e-08
791,2,8020,0,1,5.80916492685649e-08
791,4,8020,0,1,5.69555240797064e-08
791,4,8020,0,1,5.4882133857567e-08
791,3,8020,1,1,5.28981717961017e-08
791,3,8020,1,1,5.322116235252e-08
791,4,8020,0,2,5.34635347925278e-08
791,1,8020,1,2,5.08183603587343e-08
791,2,8020,0,2,5.0450111386167e-08
791,2,8020,0,1,4.97477496676386e-08
791,1,8020,1,2,4.8793547372904e-08
791,1,8020,1,2,4.84425146721202e-08
791,2,8020,-1,2,4.80964967240043e-08
791,4,8020,0,2,7.61944178337969e-08
791,4,8020,0,1,7.24508896657169e-08
791,4,8020,0,1,6.99119747306225e-08
791,3,8020,0,1,6.7478454307036e-08
791,4,8020,-1,2,6.73940298709983e-08
791,2,8020,-1,1,4.11217043987494e-07
791,3,8020,1,1,1.02096492656891e-06
791,3,8020,0,1,1.02467560903779e-06
791,1,8020,1,2,1.02372409686864e-06
791,1,8020,1,2,1.01646364960227e-06
791,4,8020,0,1,1.00930546205416e-06
791,4,8020,-1,2,9.6759317875473e-07
791,1,8020,1,2,3.41363761449156e-06
791,2,8020,0,2,3.38976610351084e-06
791,1,8020,0,2,3.2706689909977e-06
791,2,8020,-1,1,3.28107429861413e-06
791,3,5050,0,2,0.16884037809251
791,4,5050,0,1,0.16884037809251
791,3,5050,0,2,0.16884037809251
791,1,5050,0,1,0.16884037809251
791,1,5050,1,2,0.16884037809251
791,1,5050,0,1,0.167448612819461
791,3,5050,0,2,0.166079604829931
791,1,5050,1,2,0.166079604829931
791,2,5050,0,2,0.16338163884254
791,2,5050,0,1,0.16338163884254
791,3,5050,1,2,0.163530794213836
791,4,5050,0,2,0.163530794213836
791,3,5050,0,2,0.163680059112437
791,3,5050,0,2,0.163680059112437
791,4,5050,-1,1,0.163680059112437
791,3,5050,0,2,0.1623358540295
791,2,5050,-1,1,0.1623358540295
791,3,5050,1,1,0.161000562934728
791,2,5050,0,2,0.164860622082412
791,1,5050,1,1,0.166630768372421
791,2,5050,-1,2,0.190680092029799
791,4,5050,0,2,0.172049130370496
791,4,5050,0,2,0.173880391071201
791,2,5050,-1,1,0.175704405016125
791,1,5050,1,2,0.155316757357618
791,1,5050,0,2,0.162195773742214
791,4,5050,0,2,0.161280833973354
791,3,5050,0,1,0.162977968084187
791,1,5050,0,2,0.162634266668757
791,1,5050,0,2,0.161721888888741
791,4,5050,-1,2,0.160818185999169
791,2,5050,-1,2,0.144629473275609
791,4,5050,0,1,0.113079162754077
791,4,5050,-1,2,0.114553539922615
791,4,5050,-1,2,0.100471018573644
791,4,5050,0,2,0.0866907607185417
791,2,5050,0,2,0.0876089570437158
791,3,5050,1,2,0.0894077560332826
791,4,5050,-1,2,0.0951898273614963
791,2,5050,-1,2,0.0805336933988472
791,1,5050,0,2,0.0598627299225627
791,3,5050,0,1,0.0594897061082976
791,1,5050,1,2,0.0588381983124663
791,3,5050,1,2,0.061486844043945
791,1,5050,0,2,0.0646235377390423
791,2,5050,-1,2,0.0642400743754254
791,3,5050,1,1,0.0453369475462424
791,4,5050,0,1,0.0527276149182597
791,4,5050,-1,1,0.0550559774058587
