subj_i,state,block,reward,action,w
746,4,8020,0,1,0.5
746,2,8020,-1,1,0.5
746,3,8020,0,2,0.5
746,3,8020,0,2,0.5
746,3,8020,0,2,0.5
746,4,8020,0,1,0.5
746,3,8020,1,1,0.5
746,1,8020,0,1,0.235632667545537
746,3,8020,0,2,0.235632667545537
746,1,8020,0,1,0.24199220526045
746,2,8020,-1,2,0.24199220526045
746,4,8020,0,1,0.347131914926673
746,1,8020,0,1,0.347131914926673
746,3,8020,0,2,0.347131914926673
746,4,8020,-1,1,0.352811371075651
746,4,8020,-1,1,0.352811371075651
746,2,8020,0,2,0.352811371075651
746,2,8020,0,1,0.27629528393143
746,3,8020,1,1,0.314378915663414
746,4,8020,-1,1,0.127438496703465
746,3,8020,1,1,0.127438496703465
746,4,8020,-1,2,0.0552298869607945
746,3,8020,1,1,0.0669291392178207
746,2,8020,-1,1,0.0322438263311008
746,1,8020,0,1,0.0333576299100192
746,4,8020,-1,1,0.0333576299100192
746,4,8020,0,1,0.0375261889416154
746,1,8020,0,1,0.033642300075812
746,2,8020,-1,1,0.033642300075812
746,1,8020,1,2,0.0321975805674106
746,3,8020,1,1,0.00697006395436134
746,2,8020,-1,1,0.00361080976873375
746,2,8020,0,2,0.00337282567920521
746,2,8020,0,2,0.00209701898625337
746,1,8020,1,2,0.00132125676525722
746,4,8020,0,1,0.000421224659857265
746,2,8020,-1,1,0.000380490796320357
746,1,8020,1,2,0.000284851411407062
746,1,8020,1,2,0.000114034428921098
746,4,8020,0,2,5.29715308051969e-05
746,4,8020,0,2,7.80116237863818e-05
746,2,8020,-1,2,7.92708254262025e-05
746,1,8020,0,2,0.000159798791352024
746,4,8020,-1,2,0.000304222161986682
746,1,8020,1,2,0.000358693872819033
746,3,8020,0,1,0.000200528945815509
746,1,8020,1,2,0.000413283401264692
746,2,8020,0,2,0.000245826528618055
746,4,8020,0,1,0.00015939358990043
746,1,8020,1,2,0.00015445865384743
746,2,8020,-1,1,9.6558007895992e-05
746,3,8020,0,1,7.23551442036588e-05
746,2,8020,0,2,0.000118248521658932
746,3,8020,1,1,7.30882448889952e-05
746,1,8020,1,2,4.56888614499111e-05
746,3,8020,0,2,2.97553942068081e-05
746,1,8020,1,2,2.00438779110045e-05
746,3,8020,1,1,1.35094653247006e-05
746,4,8020,0,1,8.22444689506993e-06
746,2,8020,0,2,7.86391788055286e-06
746,3,8020,1,2,5.01001126105902e-06
746,4,8020,0,1,2.78510467437069e-05
746,3,8020,0,1,2.6415250440251e-05
746,3,8020,0,1,4.0229560094404e-05
746,4,8020,0,1,5.55766183659803e-05
746,2,8020,0,2,5.24557537723636e-05
746,2,8020,0,2,3.43802252401136e-05
746,1,8020,1,2,2.31225028671577e-05
746,1,8020,1,2,1.60458712833667e-05
746,1,8020,0,2,1.14182761101188e-05
746,4,8020,0,1,2.28225053639266e-05
746,2,8020,0,2,2.14806072455532e-05
746,2,8020,0,2,1.47874437871777e-05
746,2,8020,0,2,1.03957635804619e-05
746,4,8020,-1,2,7.44800593124242e-06
746,1,8020,1,2,5.31438324739076e-06
